|TypeGraph.LaneDevMean|TypeGraph.LaneDevSD|TypeGraph.LaneDevMax|TypeGraph.DirChangeCount|TypeGraph.SteerAngleMean
0|0.5466516666666666|0.5234683134406688|3.73|214|0.306775
1|1.55247|2.8298374739764687|14.1|185|0.31436166666666665
2|0.6038866666666667|0.5272891042449719|3.17|212|0.339715
3|0.5781016666666666|0.5604543970616639|3.77|208|0.31796
4|0.606775|0.5919480972179627|4.36|208|0.336905
5|0.5612466666666667|0.5159255847733529|3.45|211|0.31876666666666664
6|0.5384266666666667|0.5302354975882942|3.43|206|0.29709166666666664
7|0.6079716666666667|0.5825592946237441|3.84|211|0.34623333333333334
8|0.5668266666666667|0.5619109543415135|4.48|209|0.31497
9|0.577365|0.5458579793291165|4.11|217|0.33127
10|0.541435|0.533412891039441|4.28|209|0.2982266666666667
11|0.6734916666666667|0.615863680486772|3.73|209|0.3725133333333333
12|0.55074|0.5208951343826356|4.1|212|0.3045616666666667
13|0.591685|0.5461116648025435|3.81|210|0.3234
14|0.6217066666666666|0.60288611354042|3.86|210|0.34914833333333334
15|0.5527483333333333|0.5351286048865732|3.74|210|0.30790333333333336
16|0.5472716666666667|0.5117583306230092|3.63|214|0.30447166666666664
17|0.5857033333333334|0.5407227898946687|3.61|212|0.32658166666666666
18|0.5396916666666667|0.5314286634484551|4.0|208|0.3010116666666667
19|0.6167883333333334|0.5659185269633922|3.42|206|0.3247966666666667
20|0.5680466666666667|0.5263680224311332|4.13|211|0.31966333333333335
21|0.5602333333333334|0.5352354544691919|3.85|212|0.31253166666666665
22|0.5524766666666666|0.5145729268092681|3.57|214|0.3076583333333333
23|0.6265683333333333|0.5608341372326312|3.59|213|0.3501
