time|simcarPos|simcarHeading|simcarFracIndex|simcarSpeed|simcarRoadIndex|eyeLocationX|eyeLocationY|nearPoint|farPoint|carPoint|steerAngle|accelerator|brake|autocarPos|autocarHeading|autocarFracIndex|autocarSpeed|currentspeed|imaginedSpeedlimit|lanepos|followedLane|visAttention|turning|block|signVis
0.00|(101.44,.00)|(1.00,-.00)|100.44401667005414|9.2296718439957|100|0|0|(111.44,.00)|(138.36,.00)|(121.00,.00)|0.00|0.00|0.00|(121.44,.00)|(1.00,.00)|120.44401667005414|9.2296718439957|0|null|2.50011965782012|0|null|false|0|false
0.05|(101.88,.00)|(1.00,-.00)|100.88325433227538|9.13408211256151|100|0|0|(111.88,.00)|(138.42,.00)|(121.44,.00)|0.00|0.00|0.00|(121.88,.00)|(1.00,.00)|120.88325433227538|9.13408211256151|0|null|2.5002496613003835|0|null|false|0|false
0.10|(102.32,.00)|(1.00,.00)|101.317716307145|9.038543370306952|101|0|0|(112.32,.00)|(138.47,.00)|(121.88,.00)|0.00|0.00|0.00|(122.32,.00)|(1.00,.00)|121.317716307145|9.038543370306952|0|null|2.5002992680316796|0|null|false|0|false
0.15|(102.75,.00)|(1.00,.00)|101.74740490659866|8.943056123156225|101|0|0|(112.75,.00)|(138.52,.00)|(122.32,.00)|0.00|0.00|0.00|(122.75,.00)|(1.00,.00)|121.74740490659866|8.943056123156225|0|null|2.500507050957787|0|null|false|0|false
0.20|(103.17,.00)|(1.00,.00)|102.17232440328395|8.84762089952383|102|0|0|(113.17,.00)|(138.56,.00)|(122.75,.00)|0.00|0.00|0.00|(123.17,.00)|(1.00,.00)|122.17232440328395|8.84762089952383|0|null|2.500668025158263|0|null|false|0|false
0.25|(103.59,.00)|(1.00,.00)|102.59247566447885|8.752238251247398|102|0|0|(113.59,.00)|(138.60,.00)|(123.17,.00)|0.00|0.00|0.00|(123.59,.00)|(1.00,.00)|122.59247566447885|8.752238251247398|0|null|2.5008642829748498|0|null|false|0|false
0.30|(104.01,.00)|(1.00,.00)|103.00786028873954|8.656908754569445|103|0|0|(114.01,.00)|(138.64,.00)|(123.59,.00)|0.00|0.00|0.00|(124.01,.00)|(1.00,.00)|123.00786028873954|8.656908754569445|0|null|2.501132740876735|0|null|false|0|false
0.35|(104.42,.00)|(1.00,.00)|103.41848279102992|8.561633011171107|103|0|0|(114.42,.00)|(138.67,.00)|(124.01,.00)|0.00|0.00|0.00|(124.42,.00)|(1.00,.00)|123.41848279102992|8.561633011171107|0|null|2.501356708388867|0|null|false|0|false
0.40|(104.83,.01)|(1.00,.00)|103.83150880194336|8.505490730847841|103|0|0|(114.83,.00)|(138.85,.00)|(124.42,.00)|0.00|0.08|0.00|(124.83,.00)|(1.00,.00)|123.83150880194336|8.505490730847841|0|null|2.5016828411348384|0|null|false|0|false
0.45|(105.24,.01)|(1.00,.00)|104.24177852210505|8.449632448132757|104|0|0|(115.24,.00)|(139.04,.00)|(124.83,.00)|0.00|0.08|0.00|(125.24,.00)|(1.00,.00)|124.24177852210505|8.449632448132757|0|null|2.501980279394668|0|null|false|0|false
0.50|(105.65,.01)|(1.00,.00)|104.64930536273455|8.394060190487663|104|0|0|(115.65,.00)|(139.23,.00)|(125.24,.00)|0.00|0.08|0.00|(125.65,.00)|(1.00,.00)|124.64930536273455|8.394060190487663|0|null|2.50232031117174|0|null|false|0|false
0.55|(106.05,.01)|(1.00,.00)|105.0541036881727|8.338775989854948|105|0|0|(116.05,.00)|(139.41,.00)|(125.65,.00)|0.00|0.08|0.00|(126.05,.00)|(1.00,.00)|125.0541036881727|8.338775989854948|0|null|2.5026973981628364|0|null|false|0|false
0.60|(106.46,.01)|(1.00,.00)|105.45618918645212|8.283781882040293|105|0|0|(116.46,.00)|(139.59,.00)|(126.05,.00)|0.00|0.08|0.00|(126.46,.00)|(1.00,.00)|125.45618918645212|8.283781882040293|0|null|2.5030506699691513|0|null|false|0|false
0.65|(106.86,.01)|(1.00,.00)|105.8555752210496|8.229079906071398|105|0|0|(116.86,.00)|(139.77,.00)|(126.46,.00)|0.00|0.08|0.00|(126.86,.00)|(1.00,.00)|125.8555752210496|8.229079906071398|0|null|2.5034826253692604|0|null|false|0|false
0.70|(107.26,.01)|(1.00,.00)|106.2585239470407|8.209360553577387|106|0|0|(117.26,.00)|(140.10,.00)|(126.86,.00)|0.00|0.14|0.00|(127.26,.00)|(1.00,.00)|126.2585239470407|8.209360553577387|0|null|2.5038699517937033|0|null|false|0|false
0.75|(107.66,.02)|(1.00,.00)|106.66051910454712|8.18982880397382|106|0|0|(117.66,.00)|(140.42,.00)|(127.26,.00)|0.00|0.14|0.00|(127.66,.00)|(1.00,.00)|126.66051910454712|8.18982880397382|0|null|2.5043360460248234|0|null|false|0|false
0.80|(108.06,.02)|(1.00,.00)|107.06157145421575|8.170483712142117|107|0|0|(118.06,.00)|(140.74,.00)|(127.66,.00)|0.00|0.14|0.00|(128.06,.00)|(1.00,.00)|127.06157145421575|8.170483712142117|0|null|2.504777850343846|0|null|false|0|false
0.85|(108.46,.02)|(1.00,.00)|107.46168923758188|8.151324323728534|107|0|0|(118.46,.00)|(141.07,.00)|(128.06,.00)|0.00|0.14|0.00|(128.46,.00)|(1.00,.00)|127.46168923758188|8.151324323728534|0|null|2.505242275182826|0|null|false|0|false
0.90|(108.87,.02)|(1.00,.00)|107.86500984106021|8.155621630821749|107|0|0|(118.87,.00)|(141.49,.00)|(128.46,.00)|0.00|0.18|0.00|(128.87,.00)|(1.00,.00)|127.86500984106021|8.155621630821749|0|null|2.5057473378588333|0|null|false|0|false
0.95|(109.27,.02)|(1.00,.00)|108.26853636892942|8.159865624560974|108|0|0|(119.27,.00)|(141.91,.00)|(128.87,.00)|0.00|0.18|0.00|(129.27,.00)|(1.00,.00)|128.2685363689294|8.159865624560974|0|null|2.5062133386446925|0|null|false|0|false
1.00|(109.67,.02)|(1.00,.00)|108.6722644855291|8.164057018485417|108|0|0|(119.67,.00)|(142.33,.00)|(129.27,.00)|0.00|0.18|0.00|(129.67,.00)|(1.00,.00)|128.6722644855291|8.164057018485417|0|null|2.506756055266797|0|null|false|0|false
1.05|(110.08,.03)|(1.00,.00)|109.07619412533552|8.168196515274927|109|0|0|(120.08,.00)|(142.75,.00)|(129.67,.00)|0.00|0.18|0.00|(130.08,.00)|(1.00,.00)|129.07619412533552|8.168196515274927|0|null|2.5072440676512096|0|null|false|0|false
1.10|(110.48,.03)|(1.00,.00)|109.48032094077402|8.172284806948541|109|0|0|(120.48,.00)|(143.17,.00)|(130.08,.00)|0.00|0.18|0.00|(130.48,.00)|(1.00,.00)|129.48032094077402|8.172284806948541|0|null|2.507788660811389|0|null|false|0|false
1.15|(110.88,.03)|(1.00,.00)|109.8846435743772|8.17632257505857|109|0|0|(120.88,.00)|(143.59,.00)|(130.48,.00)|0.00|0.18|0.00|(130.88,.00)|(1.00,.00)|129.8846435743772|8.17632257505857|0|null|2.5083195790921198|0|null|false|0|false
1.20|(111.29,.03)|(1.00,.00)|110.2891592460573|8.180310490880315|110|0|0|(121.29,.00)|(144.01,.00)|(130.88,.00)|0.00|0.18|0.00|(131.29,.00)|(1.00,.00)|130.2891592460573|8.180310490880315|0|null|2.5088491797217376|0|null|false|0|false
1.25|(111.69,.03)|(1.00,.00)|110.69386474752527|8.18424921559754|110|0|0|(121.69,.00)|(144.43,.00)|(131.29,.00)|0.00|0.18|0.00|(131.69,.00)|(1.00,.00)|130.69386474752525|8.18424921559754|0|null|2.5094192046351633|0|null|false|0|false
1.30|(112.10,.04)|(1.00,.00)|111.09875937155546|8.18813940048385|111|0|0|(122.10,.00)|(144.85,.00)|(131.69,.00)|0.00|0.18|0.00|(132.10,.00)|(1.00,.00)|131.09875937155545|8.18813940048385|0|null|2.5099458458097295|0|null|false|0|false
1.35|(112.50,.04)|(1.00,.00)|111.50383904390111|8.191981687080029|111|0|0|(122.50,.00)|(145.27,.00)|(132.10,.00)|0.00|0.18|0.00|(132.50,.00)|(1.00,.00)|131.5038390439011|8.191981687080029|0|null|2.5105304010219305|0|null|false|0|false
1.40|(112.91,.04)|(1.00,.01)|111.9091033114784|8.195776707367484|111|0|0|(122.91,.00)|(145.69,.00)|(132.50,.00)|0.00|0.18|0.00|(132.91,.00)|(1.00,.00)|131.90910331147842|8.195776707367484|0|null|2.511079240555441|0|null|false|0|false
1.45|(113.31,.04)|(1.00,.01)|112.31454863698873|8.199525083937905|112|0|0|(123.31,.00)|(146.11,.00)|(132.91,.00)|0.00|0.18|0.00|(133.31,.00)|(1.00,.00)|132.31454863698872|8.199525083937905|0|null|2.511656273140744|0|null|false|0|false
1.50|(113.72,.04)|(1.00,.01)|112.72017306919942|8.203227430159208|112|0|0|(123.72,.00)|(146.53,.00)|(133.31,.00)|0.00|0.18|0.00|(133.72,.00)|(1.00,.00)|132.7201730691994|8.203227430159208|0|null|2.5122409344960768|0|null|false|0|false
1.55|(114.13,.05)|(1.00,.01)|113.12597485035303|8.206884350337894|113|0|0|(124.13,.00)|(146.95,.00)|(133.72,.00)|0.00|0.18|0.00|(134.13,.00)|(1.00,.00)|133.12597485035303|8.206884350337894|0|null|2.5128102966108394|0|null|false|0|false
1.60|(114.53,.05)|(1.00,.01)|113.5319506240251|8.210496439877891|113|0|0|(124.53,.00)|(147.37,.00)|(134.13,.00)|0.00|0.18|0.00|(134.53,.00)|(1.00,.00)|133.53195062402511|8.210496439877891|0|null|2.5134227976356587|0|null|false|0|false
1.65|(114.94,.05)|(1.00,.01)|113.93809990831062|8.214064285436002|113|0|0|(124.94,.00)|(147.79,.00)|(134.53,.00)|0.00|0.18|0.00|(134.94,.00)|(1.00,.00)|133.93809990831062|8.214064285436002|0|null|2.5140041962775888|0|null|false|0|false
1.70|(115.34,.05)|(1.00,.01)|114.34441907873733|8.217588465074009|114|0|0|(125.34,.00)|(148.21,.00)|(134.94,.00)|0.00|0.18|0.00|(135.34,.00)|(1.00,.00)|134.34441907873733|8.217588465074009|0|null|2.514626808438928|0|null|false|0|false
1.75|(115.75,.06)|(1.00,.01)|114.75090710393228|8.221069548407554|114|0|0|(125.75,.00)|(148.64,.00)|(135.34,.00)|0.00|0.18|0.00|(135.75,.00)|(1.00,.00)|134.75090710393226|8.221069548407554|0|null|2.5152406266053156|0|null|false|0|false
1.80|(116.16,.06)|(1.00,.01)|115.1575614500779|8.224508096751869|115|0|0|(126.16,.00)|(149.06,.00)|(135.75,.00)|0.00|0.18|0.00|(136.16,.00)|(1.00,.00)|135.1575614500779|8.224508096751869|0|null|2.515865539471165|0|null|false|0|false
1.85|(116.58,.06)|(1.00,.01)|115.58312418961454|8.336780019009545|115|0|0|(126.58,.00)|(149.93,.00)|(136.16,.00)|0.00|0.39|0.00|(136.58,.00)|(1.00,.00)|135.58312418961452|8.336780019009545|0|null|2.516548915825703|0|null|false|0|false
1.90|(117.01,.06)|(1.00,.01)|116.0138422885203|8.44630271192036|116|0|0|(127.01,.00)|(150.80,.00)|(136.58,.00)|0.00|0.39|0.00|(137.01,.00)|(1.00,.00)|136.0138422885203|8.44630271192036|0|null|2.51722645393832|0|null|false|0|false
1.95|(117.45,.07)|(1.00,.01)|116.44959851115702|8.55320992412179|116|0|0|(127.45,.00)|(151.66,.00)|(137.01,.00)|0.00|0.39|0.00|(137.45,.00)|(1.00,.00)|136.44959851115703|8.55320992412179|0|null|2.5179475118089063|0|null|false|0|false
2.00|(117.89,.07)|(1.00,.01)|116.8902825362579|8.657625077127095|116|0|0|(127.89,.00)|(152.52,.00)|(137.45,.00)|0.00|0.39|0.00|(137.89,.00)|(1.00,.00)|136.8902825362579|8.657625077127095|0|null|2.518682942641682|0|null|false|0|false
2.05|(118.34,.07)|(1.00,.01)|117.33944185107224|8.781357324431838|117|0|0|(128.34,.00)|(153.46,.00)|(137.89,.00)|0.00|0.43|0.00|(138.34,.00)|(1.00,.00)|137.33944185107225|8.781357324431838|0|null|2.5194435425389665|0|null|false|0|false
2.10|(118.79,.07)|(1.00,.01)|117.79428234132753|8.902051958350413|117|0|0|(128.79,.00)|(154.40,.00)|(138.34,.00)|0.00|0.43|0.00|(138.79,.00)|(1.00,.00)|137.79428234132752|8.902051958350413|0|null|2.5202379460314197|0|null|false|0|false
2.15|(119.25,.08)|(1.00,.01)|118.25467648611442|9.01986030656594|118|0|0|(129.25,.00)|(155.33,.00)|(138.79,.00)|0.00|0.43|0.00|(139.25,.00)|(1.00,.00)|138.25467648611442|9.01986030656594|0|null|2.521053436435471|0|null|false|0|false
2.20|(119.72,.08)|(1.00,.01)|118.72050208860394|9.13492170261172|118|0|0|(129.72,.00)|(156.26,.00)|(139.25,.00)|0.00|0.43|0.00|(139.72,.00)|(1.00,.00)|138.72050208860395|9.13492170261172|0|null|2.5218939768617763|0|null|false|0|false
2.25|(120.19,.08)|(1.00,.01)|119.19164231394913|9.247364775926878|119|0|0|(130.19,.00)|(157.18,.00)|(139.72,.00)|0.00|0.43|0.00|(140.19,.00)|(1.00,.00)|139.19164231394913|9.247364775926878|0|null|2.522762224725195|0|null|false|0|false
2.30|(120.67,.09)|(1.00,.01)|119.66798546039806|9.357308568764903|119|0|0|(130.67,.00)|(158.10,.00)|(140.19,.00)|0.00|0.43|0.00|(140.67,.00)|(1.00,.00)|139.66798546039806|9.357308568764903|0|null|2.523654304488865|0|null|false|0|false
2.35|(121.15,.09)|(1.00,.01)|120.14942436026864|9.464863507547772|120|0|0|(131.15,.00)|(159.01,.00)|(140.67,.00)|0.00|0.43|0.00|(141.15,.00)|(1.00,.00)|140.14942436026865|9.464863507547772|0|null|2.524569871814313|0|null|false|0|false
2.40|(121.64,.09)|(1.00,.01)|120.63585616214303|9.57013225120596|120|0|0|(131.64,.00)|(159.92,.00)|(141.15,.00)|0.00|0.43|0.00|(141.64,.00)|(1.00,.00)|140.63585616214303|9.57013225120596|0|null|2.5255086906039756|0|null|false|0|false
2.45|(122.13,.10)|(1.00,.01)|121.1271821075475|9.67321043503083|121|0|0|(132.13,.00)|(160.82,.00)|(141.64,.00)|0.00|0.43|0.00|(142.13,.00)|(1.00,.00)|141.1271821075475|9.67321043503083|0|null|2.526468615176483|0|null|false|0|false
2.50|(122.62,.10)|(1.00,.01)|121.62330722662239|9.774187325355133|121|0|0|(132.62,.00)|(161.72,.00)|(142.13,.00)|0.00|0.43|0.00|(142.62,.00)|(1.00,.00)|141.6233072266224|9.774187325355133|0|null|2.527447541734208|0|null|false|0|false
