time|simcarPos|simcarHeading|simcarFracIndex|simcarSpeed|simcarRoadIndex|eyeLocationX|eyeLocationY|nearPoint|farPoint|carPoint|steerAngle|accelerator|brake|autocarPos|autocarHeading|autocarFracIndex|autocarSpeed|currentspeed|imaginedSpeedlimit|lanepos|followedLane|visAttention|turning|block|signVis
0.00|(101.44,.00)|(1.00,-.00)|100.44401667005414|9.2296718439957|100|0|0|(111.44,.00)|(138.36,.00)|(121.00,.00)|0.00|0.00|0.00|(121.44,.00)|(1.00,.00)|120.44401667005414|9.2296718439957|0|null|2.50011965782012|0|null|false|0|false
0.05|(101.88,.00)|(1.00,-.00)|100.88325433227538|9.13408211256151|100|0|0|(111.88,.00)|(138.42,.00)|(121.44,.00)|0.00|0.00|0.00|(121.88,.00)|(1.00,.00)|120.88325433227538|9.13408211256151|0|null|2.5002496613003835|0|null|false|0|false
0.10|(102.32,.00)|(1.00,.00)|101.317716307145|9.038543370306952|101|0|0|(112.32,.00)|(138.47,.00)|(121.88,.00)|0.00|0.00|0.00|(122.32,.00)|(1.00,.00)|121.317716307145|9.038543370306952|0|null|2.5002992680316796|0|null|false|0|false
0.15|(102.75,.00)|(1.00,.00)|101.74740490659866|8.943056123156225|101|0|0|(112.75,.00)|(138.52,.00)|(122.32,.00)|0.00|0.00|0.00|(122.75,.00)|(1.00,.00)|121.74740490659866|8.943056123156225|0|null|2.500507050957787|0|null|false|0|false
0.20|(103.17,.00)|(1.00,.00)|102.17232440328395|8.84762089952383|102|0|0|(113.17,.00)|(138.56,.00)|(122.75,.00)|0.00|0.00|0.00|(123.17,.00)|(1.00,.00)|122.17232440328395|8.84762089952383|0|null|2.500668025158263|0|null|false|0|false
0.25|(103.60,.00)|(1.00,.00)|102.59645450875624|8.773880299363942|102|0|0|(113.60,.00)|(138.69,.00)|(123.17,.00)|0.00|0.04|0.00|(123.60,.00)|(1.00,.00)|122.59645450875624|8.773880299363942|0|null|2.5008662705766724|0|null|false|0|false
0.30|(104.02,.00)|(1.00,.00)|103.01693343763527|8.700358590523235|103|0|0|(114.02,.00)|(138.82,.00)|(123.60,.00)|0.00|0.04|0.00|(124.02,.00)|(1.00,.00)|123.01693343763527|8.700358590523235|0|null|2.5011399280478557|0|null|false|0|false
0.35|(104.43,.01)|(1.00,.00)|103.43377453603941|8.627058416987955|103|0|0|(114.43,.00)|(138.94,.00)|(124.02,.00)|0.00|0.04|0.00|(124.43,.00)|(1.00,.00)|123.43377453603941|8.627058416987955|0|null|2.501371784341642|0|null|false|0|false
0.40|(104.85,.01)|(1.00,.00)|103.84698792102287|8.553982469803387|103|0|0|(114.85,.00)|(139.06,.00)|(124.43,.00)|0.00|0.04|0.00|(124.85,.00)|(1.00,.00)|123.84698792102287|8.553982469803387|0|null|2.501690472493721|0|null|false|0|false
0.45|(105.26,.01)|(1.00,.00)|104.25658641734921|8.481133487803577|104|0|0|(115.26,.00)|(139.18,.00)|(124.85,.00)|0.00|0.04|0.00|(125.26,.00)|(1.00,.00)|124.25658641734921|8.481133487803577|0|null|2.5019974288203795|0|null|false|0|false
0.50|(105.67,.01)|(1.00,.00)|104.66769500388934|8.436641288037551|104|0|0|(115.67,.00)|(139.41,.00)|(125.26,.00)|0.00|0.10|0.00|(125.67,.00)|(1.00,.00)|124.66769500388934|8.436641288037551|0|null|2.5023355942041494|0|null|false|0|false
0.55|(106.08,.01)|(1.00,.00)|105.0766289865631|8.392435418597966|105|0|0|(116.08,.00)|(139.65,.00)|(125.67,.00)|0.00|0.10|0.00|(126.08,.00)|(1.00,.00)|125.0766289865631|8.392435418597966|0|null|2.502722530023301|0|null|false|0|false
0.60|(106.48,.01)|(1.00,.00)|105.48340407250687|8.348516844359077|105|0|0|(116.48,.00)|(139.88,.00)|(126.08,.00)|0.00|0.10|0.00|(126.48,.00)|(1.00,.00)|125.48340407250687|8.348516844359077|0|null|2.5030841465052345|0|null|false|0|false
0.65|(106.89,.01)|(1.00,.00)|105.88803344597882|8.304886512739413|105|0|0|(116.89,.00)|(140.11,.00)|(126.48,.00)|0.00|0.10|0.00|(126.89,.00)|(1.00,.00)|125.88803344597882|8.304886512739413|0|null|2.5035166692165514|0|null|false|0|false
0.70|(107.29,.01)|(1.00,.00)|106.29464567628972|8.284453787436659|106|0|0|(117.29,.00)|(140.43,.00)|(126.89,.00)|0.00|0.14|0.00|(127.29,.00)|(1.00,.00)|126.29464567628972|8.284453787436659|0|null|2.5039254796314663|0|null|false|0|false
0.75|(107.70,.02)|(1.00,.00)|106.70026967181497|8.264212131186907|106|0|0|(117.70,.00)|(140.76,.00)|(127.29,.00)|0.00|0.14|0.00|(127.70,.00)|(1.00,.00)|126.70026967181497|8.264212131186907|0|null|2.504380515889985|0|null|false|0|false
0.80|(108.10,.02)|(1.00,.00)|107.10491522976007|8.244160635339453|107|0|0|(118.10,.00)|(141.08,.00)|(127.70,.00)|0.00|0.14|0.00|(128.10,.00)|(1.00,.00)|127.10491522976007|8.244160635339453|0|null|2.5048455847956883|0|null|false|0|false
0.85|(108.51,.02)|(1.00,.00)|107.50859186417001|8.224298381274117|107|0|0|(118.51,.00)|(141.41,.00)|(128.10,.00)|0.00|0.14|0.00|(128.51,.00)|(1.00,.00)|127.50859186417001|8.224298381274117|0|null|2.5053064198869963|0|null|false|0|false
0.90|(108.91,.02)|(1.00,.00)|107.91130798473166|8.204624440592754|107|0|0|(118.91,.00)|(141.73,.00)|(128.51,.00)|0.00|0.14|0.00|(128.91,.00)|(1.00,.00)|127.91130798473166|8.204624440592754|0|null|2.505814901940352|0|null|false|0|false
0.95|(109.32,.02)|(1.00,.00)|108.3181953629746|8.214037550579627|108|0|0|(119.32,.00)|(142.17,.00)|(128.91,.00)|0.00|0.20|0.00|(129.32,.00)|(1.00,.00)|128.31819536297462|8.214037550579627|0|null|2.5062952265713374|0|null|false|0|false
1.00|(109.73,.03)|(1.00,.00)|108.7255311353578|8.22332902168565|108|0|0|(119.73,.00)|(142.62,.00)|(129.32,.00)|0.00|0.20|0.00|(129.73,.00)|(1.00,.00)|128.7255311353578|8.22332902168565|0|null|2.506831381654383|0|null|false|0|false
1.05|(110.13,.03)|(1.00,.00)|109.13331084296708|8.232500684110017|109|0|0|(120.13,.00)|(143.06,.00)|(129.73,.00)|0.00|0.20|0.00|(130.13,.00)|(1.00,.00)|129.1333108429671|8.232500684110017|0|null|2.5073469984534995|0|null|false|0|false
1.10|(110.54,.03)|(1.00,.00)|109.54152804392001|8.241554333622808|109|0|0|(120.54,.00)|(143.51,.00)|(130.13,.00)|0.00|0.20|0.00|(130.54,.00)|(1.00,.00)|129.54152804392|8.241554333622808|0|null|2.5078821924673305|0|null|false|0|false
1.15|(110.95,.03)|(1.00,.00)|109.95419669537252|8.273452875269353|109|0|0|(120.95,.00)|(144.05,.00)|(130.54,.00)|0.00|0.24|0.00|(130.95,.00)|(1.00,.00)|129.9541966953725|8.273452875269353|0|null|2.5084415921231216|0|null|false|0|false
1.20|(111.37,.03)|(1.00,.00)|110.36837475659812|8.304858891218439|110|0|0|(121.37,.00)|(144.59,.00)|(130.95,.00)|0.00|0.24|0.00|(131.37,.00)|(1.00,.00)|130.36837475659812|8.304858891218439|0|null|2.5089843100169986|0|null|false|0|false
1.25|(111.78,.04)|(1.00,.00)|110.78403855795334|8.335783484828063|110|0|0|(121.78,.00)|(145.13,.00)|(131.37,.00)|0.00|0.24|0.00|(131.78,.00)|(1.00,.00)|130.78403855795335|8.335783484828063|0|null|2.5095659424715926|0|null|false|0|false
1.30|(112.20,.04)|(1.00,.00)|111.2011669043537|8.366237390820709|111|0|0|(122.20,.00)|(145.67,.00)|(131.78,.00)|0.00|0.24|0.00|(132.20,.00)|(1.00,.00)|131.2011669043537|8.366237390820709|0|null|2.5101319625809277|0|null|false|0|false
1.35|(112.62,.04)|(1.00,.00)|111.62365359902637|8.418813654137782|111|0|0|(122.62,.00)|(146.30,.00)|(132.20,.00)|0.00|0.28|0.00|(132.62,.00)|(1.00,.00)|131.62365359902637|8.418813654137782|0|null|2.5107224402517905|0|null|false|0|false
1.40|(113.05,.04)|(1.00,.01)|112.04860993278075|8.470467878432483|112|0|0|(123.05,.00)|(146.93,.00)|(132.62,.00)|0.00|0.28|0.00|(133.05,.00)|(1.00,.00)|132.04860993278075|8.470467878432483|0|null|2.5113258128241287|0|null|false|0|false
1.45|(113.48,.04)|(1.00,.01)|112.4759946213463|8.521226782258996|112|0|0|(123.48,.00)|(147.56,.00)|(133.05,.00)|0.00|0.28|0.00|(133.48,.00)|(1.00,.00)|132.4759946213463|8.521226782258996|0|null|2.5119271697451033|0|null|false|0|false
1.50|(113.91,.05)|(1.00,.01)|112.90576672941758|8.571115891255895|112|0|0|(123.91,.00)|(148.19,.00)|(133.48,.00)|0.00|0.28|0.00|(133.91,.00)|(1.00,.00)|132.90576672941756|8.571115891255895|0|null|2.512551560977362|0|null|false|0|false
1.55|(114.34,.05)|(1.00,.01)|113.34167594930966|8.642178816207611|113|0|0|(124.34,.00)|(148.91,.00)|(133.91,.00)|0.00|0.33|0.00|(134.34,.00)|(1.00,.00)|133.34167594930966|8.642178816207611|0|null|2.5131850863844383|0|null|false|0|false
1.60|(114.78,.05)|(1.00,.01)|113.78090565395907|8.711880859975617|113|0|0|(124.78,.00)|(149.63,.00)|(134.34,.00)|0.00|0.33|0.00|(134.78,.00)|(1.00,.00)|133.78090565395905|8.711880859975617|0|null|2.513832356833541|0|null|false|0|false
1.65|(115.22,.05)|(1.00,.01)|114.22339543156481|8.780268486537441|114|0|0|(125.22,.00)|(150.34,.00)|(134.78,.00)|0.00|0.33|0.00|(135.22,.00)|(1.00,.00)|134.22339543156482|8.780268486537441|0|null|2.514497574911235|0|null|false|0|false
1.70|(115.67,.06)|(1.00,.01)|114.66908704540884|8.847385671695589|114|0|0|(125.67,.00)|(151.06,.00)|(135.22,.00)|0.00|0.33|0.00|(135.67,.00)|(1.00,.00)|134.66908704540884|8.847385671695589|0|null|2.5151736077817106|0|null|false|0|false
1.75|(116.12,.06)|(1.00,.01)|115.11792377676097|8.913274085344595|115|0|0|(126.12,.00)|(151.77,.00)|(135.67,.00)|0.00|0.33|0.00|(136.12,.00)|(1.00,.00)|135.11792377676096|8.913274085344595|0|null|2.515867207439843|0|null|false|0|false
1.80|(116.57,.06)|(1.00,.01)|115.57437292751442|9.004428527990807|115|0|0|(126.57,.00)|(152.59,.00)|(136.12,.00)|0.00|0.38|0.00|(136.57,.00)|(1.00,.00)|135.57437292751442|9.004428527990807|0|null|2.5165857439855053|0|null|false|0|false
1.85|(117.04,.06)|(1.00,.01)|116.03506249835655|9.093709815879322|116|0|0|(127.04,.00)|(153.41,.00)|(136.57,.00)|0.00|0.38|0.00|(137.04,.00)|(1.00,.00)|136.03506249835655|9.093709815879322|0|null|2.517323194671708|0|null|false|0|false
1.90|(117.50,.07)|(1.00,.01)|116.49991070424252|9.181190862232818|116|0|0|(127.50,.00)|(154.22,.00)|(137.04,.00)|0.00|0.38|0.00|(137.50,.00)|(1.00,.00)|136.49991070424252|9.181190862232818|0|null|2.5180823664479917|0|null|false|0|false
1.95|(117.97,.07)|(1.00,.01)|116.9688387484445|9.2669400841622|116|0|0|(127.97,.00)|(155.04,.00)|(137.50,.00)|0.00|0.38|0.00|(137.97,.00)|(1.00,.00)|136.9688387484445|9.2669400841622|0|null|2.5188636944797507|0|null|false|0|false
2.00|(118.45,.07)|(1.00,.01)|117.44523072538796|9.371372798056559|117|0|0|(128.45,.00)|(155.93,.00)|(137.97,.00)|0.00|0.42|0.00|(138.45,.00)|(1.00,.00)|137.44523072538794|9.371372798056559|0|null|2.519673663580498|0|null|false|0|false
2.05|(118.93,.08)|(1.00,.01)|117.92647224818312|9.473597896704261|117|0|0|(128.93,.00)|(156.82,.00)|(138.45,.00)|0.00|0.42|0.00|(138.93,.00)|(1.00,.00)|137.92647224818313|9.473597896704261|0|null|2.520509278754022|0|null|false|0|false
2.10|(119.41,.08)|(1.00,.01)|118.41246773663276|9.573706610958345|118|0|0|(129.41,.00)|(157.71,.00)|(138.93,.00)|0.00|0.42|0.00|(139.41,.00)|(1.00,.00)|138.41246773663278|9.573706610958345|0|null|2.5213707999769683|0|null|false|0|false
2.15|(119.90,.08)|(1.00,.01)|118.9031252386768|9.671784174293958|118|0|0|(129.90,.00)|(158.59,.00)|(139.41,.00)|0.00|0.42|0.00|(139.90,.00)|(1.00,.00)|138.9031252386768|9.671784174293958|0|null|2.5222583000632444|0|null|false|0|false
2.20|(120.40,.08)|(1.00,.01)|119.40166257457359|9.787415700331884|119|0|0|(130.40,.00)|(159.55,.00)|(139.90,.00)|0.00|0.47|0.00|(140.40,.00)|(1.00,.00)|139.4016625745736|9.787415700331884|0|null|2.5231782503417186|0|null|false|0|false
2.25|(120.91,.09)|(1.00,.01)|119.90556631174445|9.900574866520783|119|0|0|(130.91,.00)|(160.51,.00)|(140.40,.00)|0.00|0.47|0.00|(140.91,.00)|(1.00,.00)|139.90556631174445|9.900574866520783|0|null|2.5241260846191143|0|null|false|0|false
2.30|(121.41,.09)|(1.00,.01)|120.4147299112669|10.011367386948157|120|0|0|(131.41,.00)|(161.46,.00)|(140.91,.00)|0.00|0.47|0.00|(141.41,.00)|(1.00,.00)|140.4147299112669|10.011367386948157|0|null|2.5251009414519787|0|null|false|0|false
2.35|(121.93,.10)|(1.00,.01)|120.92905100599528|10.11989176508369|120|0|0|(131.93,.00)|(162.41,.00)|(141.41,.00)|0.00|0.47|0.00|(141.93,.00)|(1.00,.00)|140.9290510059953|10.11989176508369|0|null|2.5261017965224326|0|null|false|0|false
2.40|(122.47,.10)|(1.00,.01)|121.46560566052305|10.329173149928696|121|0|0|(132.47,.00)|(163.78,.00)|(141.93,.00)|-0.02|0.71|0.00|(142.47,.00)|(1.00,.00)|141.46560566052307|10.329173149928696|0|null|2.5270932295645667|0|null|false|0|false
2.45|(123.01,.10)|(1.00,.01)|122.01165010535489|10.532407161870019|122|0|0|(133.01,.00)|(165.14,.00)|(142.47,.00)|-0.02|0.71|0.00|(143.01,.00)|(1.00,.00)|142.01165010535487|10.532407161870019|0|null|2.5281004134480947|0|null|false|0|false
2.50|(123.57,.11)|(1.00,.01)|122.56694069542054|10.729984930329959|122|0|0|(133.57,.00)|(166.49,.00)|(143.01,.00)|-0.02|0.71|0.00|(143.57,.00)|(1.00,.00)|142.56694069542056|10.729984930329959|0|null|2.529156222254291|0|null|false|0|false
