time|simcarPos|simcarHeading|simcarFracIndex|simcarSpeed|simcarRoadIndex|eyeLocationX|eyeLocationY|nearPoint|farPoint|carPoint|steerAngle|accelerator|brake|autocarPos|autocarHeading|autocarFracIndex|autocarSpeed|currentspeed|imaginedSpeedlimit|lanepos|followedLane|visAttention|turning|block|signVis
0.00|(101.44,.00)|(1.00,-.00)|100.44401667005414|9.2296718439957|100|0|0|(111.44,.00)|(138.36,.00)|(121.00,.00)|0.00|0.00|0.00|(121.44,.00)|(1.00,.00)|120.44401667005414|9.2296718439957|0|null|2.50011965782012|0|null|false|0|false
0.05|(101.88,.00)|(1.00,-.00)|100.88325433227538|9.13408211256151|100|0|0|(111.88,.00)|(138.42,.00)|(121.44,.00)|0.00|0.00|0.00|(121.88,.00)|(1.00,.00)|120.88325433227538|9.13408211256151|0|null|2.5002496613003835|0|null|false|0|false
0.10|(102.32,.00)|(1.00,.00)|101.317716307145|9.038543370306952|101|0|0|(112.32,.00)|(138.47,.00)|(121.88,.00)|0.00|0.00|0.00|(122.32,.00)|(1.00,.00)|121.317716307145|9.038543370306952|0|null|2.5002992680316796|0|null|false|0|false
0.15|(102.75,.00)|(1.00,.00)|101.74740490659866|8.943056123156225|101|0|0|(112.75,.00)|(138.52,.00)|(122.32,.00)|0.00|0.00|0.00|(122.75,.00)|(1.00,.00)|121.74740490659866|8.943056123156225|0|null|2.500507050957787|0|null|false|0|false
0.20|(103.17,.00)|(1.00,.00)|102.17232440328395|8.84762089952383|102|0|0|(113.17,.00)|(138.56,.00)|(122.75,.00)|0.00|0.00|0.00|(123.17,.00)|(1.00,.00)|122.17232440328395|8.84762089952383|0|null|2.500668025158263|0|null|false|0|false
0.25|(103.59,.00)|(1.00,.00)|102.59247566447885|8.752238251247398|102|0|0|(113.59,.00)|(138.60,.00)|(123.17,.00)|0.00|0.00|0.00|(123.59,.00)|(1.00,.00)|122.59247566447885|8.752238251247398|0|null|2.5008642829748498|0|null|false|0|false
0.30|(104.01,.00)|(1.00,.00)|103.0128810976361|8.684242679962217|103|0|0|(114.01,.00)|(138.75,.00)|(123.59,.00)|0.00|0.05|0.00|(124.01,.00)|(1.00,.00)|123.0128810976361|8.684242679962217|0|null|2.501138159171953|0|null|false|0|false
0.35|(104.43,.01)|(1.00,.00)|103.42993018560368|8.616494491530933|103|0|0|(114.43,.00)|(138.90,.00)|(124.01,.00)|0.00|0.05|0.00|(124.43,.00)|(1.00,.00)|123.42993018560368|8.616494491530933|0|null|2.5013675249474523|0|null|false|0|false
0.40|(104.84,.01)|(1.00,.00)|103.84363428650433|8.54899630721044|103|0|0|(114.84,.00)|(139.04,.00)|(124.43,.00)|0.00|0.05|0.00|(124.84,.00)|(1.00,.00)|123.84363428650433|8.54899630721044|0|null|2.5016885806511806|0|null|false|0|false
0.45|(105.25,.01)|(1.00,.00)|104.25400764167564|8.481750783095094|104|0|0|(115.25,.00)|(139.18,.00)|(124.84,.00)|0.00|0.05|0.00|(125.25,.00)|(1.00,.00)|124.25400764167564|8.481750783095094|0|null|2.5019939918165783|0|null|false|0|false
0.50|(105.66,.01)|(1.00,.00)|104.66106257247166|8.41476061027845|104|0|0|(115.66,.00)|(139.32,.00)|(125.25,.00)|0.00|0.05|0.00|(125.66,.00)|(1.00,.00)|124.66106257247166|8.41476061027845|0|null|2.502329103504139|0|null|false|0|false
0.55|(106.06,.01)|(1.00,.00)|105.06481181897618|8.348028514996795|105|0|0|(116.06,.00)|(139.46,.00)|(125.66,.00)|0.00|0.05|0.00|(126.06,.00)|(1.00,.00)|125.06481181897618|8.348028514996795|0|null|2.50270880629566|0|null|false|0|false
0.60|(106.47,.01)|(1.00,.00)|105.47147122977117|8.315804627182846|105|0|0|(116.47,.00)|(139.73,.00)|(126.06,.00)|0.00|0.12|0.00|(126.47,.00)|(1.00,.00)|125.47147122977117|8.315804627182846|0|null|2.5030658654512177|0|null|false|0|false
0.65|(106.88,.01)|(1.00,.00)|105.87656383551808|8.283836864341701|105|0|0|(116.88,.00)|(140.01,.00)|(126.47,.00)|0.00|0.12|0.00|(126.88,.00)|(1.00,.00)|125.87656383551808|8.283836864341701|0|null|2.503504581624089|0|null|false|0|false
0.70|(107.28,.01)|(1.00,.00)|106.28010444939683|8.252125040459427|106|0|0|(117.28,.00)|(140.29,.00)|(126.88,.00)|0.00|0.12|0.00|(127.28,.00)|(1.00,.00)|126.28010444939683|8.252125040459427|0|null|2.5039029884944224|0|null|false|0|false
0.75|(107.68,.02)|(1.00,.00)|106.6821043197418|8.220668947432614|106|0|0|(117.68,.00)|(140.56,.00)|(127.28,.00)|0.00|0.12|0.00|(127.68,.00)|(1.00,.00)|126.6821043197418|8.220668947432614|0|null|2.5043588367068663|0|null|false|0|false
0.80|(108.08,.02)|(1.00,.00)|107.08257695591121|8.189468354953581|107|0|0|(118.08,.00)|(140.84,.00)|(127.68,.00)|0.00|0.12|0.00|(128.08,.00)|(1.00,.00)|127.08257695591121|8.189468354953581|0|null|2.5048128225029744|0|null|false|0|false
0.85|(108.49,.02)|(1.00,.00)|107.48669993294183|8.187507379633844|107|0|0|(118.49,.00)|(141.24,.00)|(128.08,.00)|0.00|0.17|0.00|(128.49,.00)|(1.00,.00)|127.48669993294183|8.187507379633844|0|null|2.5052735868984604|0|null|false|0|false
0.90|(108.89,.02)|(1.00,.00)|107.89072784772738|8.185569203545645|107|0|0|(118.89,.00)|(141.63,.00)|(128.49,.00)|0.00|0.17|0.00|(128.89,.00)|(1.00,.00)|127.89072784772738|8.185569203545645|0|null|2.505786524257326|0|null|false|0|false
0.95|(109.29,.02)|(1.00,.00)|108.29466351886528|8.183653571760368|108|0|0|(119.29,.00)|(142.03,.00)|(128.89,.00)|0.00|0.17|0.00|(129.29,.00)|(1.00,.00)|128.29466351886526|8.183653571760368|0|null|2.506255995907734|0|null|false|0|false
1.00|(109.70,.02)|(1.00,.00)|108.6985062924699|8.181760231967502|108|0|0|(119.70,.00)|(142.43,.00)|(129.29,.00)|0.00|0.17|0.00|(129.70,.00)|(1.00,.00)|128.69850629246992|8.181760231967502|0|null|2.50679364055749|0|null|false|0|false
1.05|(110.11,.03)|(1.00,.00)|109.10633212967541|8.203037528762803|109|0|0|(120.11,.00)|(142.92,.00)|(129.70,.00)|0.00|0.22|0.00|(130.11,.00)|(1.00,.00)|129.10633212967542|8.203037528762803|0|null|2.5072988298773558|0|null|false|0|false
1.10|(110.52,.03)|(1.00,.00)|109.51516795448617|8.224010020954614|109|0|0|(120.52,.00)|(143.41,.00)|(130.11,.00)|0.00|0.22|0.00|(130.52,.00)|(1.00,.00)|129.51516795448617|8.224010020954614|0|null|2.5078395726506986|0|null|false|0|false
1.15|(110.92,.03)|(1.00,.00)|109.92499981565653|8.24468353566921|109|0|0|(120.92,.00)|(143.90,.00)|(130.52,.00)|0.00|0.22|0.00|(130.92,.00)|(1.00,.00)|129.92499981565652|8.24468353566921|0|null|2.5083910707235737|0|null|false|0|false
1.20|(111.34,.03)|(1.00,.00)|110.33581420273124|8.265063743882875|110|0|0|(121.34,.00)|(144.40,.00)|(130.92,.00)|0.00|0.22|0.00|(131.34,.00)|(1.00,.00)|130.33581420273123|8.265063743882875|0|null|2.5089261110106964|0|null|false|0|false
1.25|(111.75,.03)|(1.00,.00)|110.75157998502445|8.308028725447334|110|0|0|(121.75,.00)|(144.98,.00)|(131.34,.00)|0.00|0.26|0.00|(131.75,.00)|(1.00,.00)|130.75157998502445|8.308028725447334|0|null|2.509512245855125|0|null|false|0|false
1.30|(112.17,.04)|(1.00,.00)|111.16937069015077|8.350278205492035|111|0|0|(122.17,.00)|(145.57,.00)|(131.75,.00)|0.00|0.26|0.00|(132.17,.00)|(1.00,.00)|131.16937069015077|8.350278205492035|0|null|2.510070470123231|0|null|false|0|false
1.35|(112.59,.04)|(1.00,.00)|111.5891526082515|8.391830894822084|111|0|0|(122.59,.00)|(146.16,.00)|(132.17,.00)|0.00|0.26|0.00|(132.59,.00)|(1.00,.00)|131.58915260825148|8.391830894822084|0|null|2.510660554919101|0|null|false|0|false
1.40|(113.01,.04)|(1.00,.00)|112.01089440465427|8.432704762270633|112|0|0|(123.01,.00)|(146.74,.00)|(132.59,.00)|0.00|0.26|0.00|(133.01,.00)|(1.00,.00)|132.01089440465427|8.432704762270633|0|null|2.511255374737021|0|null|false|0|false
1.45|(113.44,.04)|(1.00,.01)|112.43843070217525|8.495305004504132|112|0|0|(123.44,.00)|(147.42,.00)|(133.01,.00)|0.00|0.30|0.00|(133.44,.00)|(1.00,.00)|132.43843070217525|8.495305004504132|0|null|2.511853673658428|0|null|false|0|false
1.50|(113.87,.05)|(1.00,.01)|112.86889772597861|8.556746294370493|112|0|0|(123.87,.00)|(148.10,.00)|(133.44,.00)|0.00|0.30|0.00|(133.87,.00)|(1.00,.00)|132.86889772597863|8.556746294370493|0|null|2.512480722985778|0|null|false|0|false
1.55|(114.30,.05)|(1.00,.01)|113.30224436734534|8.617065689215531|113|0|0|(124.30,.00)|(148.77,.00)|(133.87,.00)|0.00|0.30|0.00|(134.30,.00)|(1.00,.00)|133.30224436734534|8.617065689215531|0|null|2.513105814097201|0|null|false|0|false
1.60|(114.74,.05)|(1.00,.01)|113.73842004141835|8.676298400403567|113|0|0|(124.74,.00)|(149.44,.00)|(134.30,.00)|0.00|0.30|0.00|(134.74,.00)|(1.00,.00)|133.73842004141835|8.676298400403567|0|null|2.513747759930549|0|null|false|0|false
1.65|(115.18,.05)|(1.00,.01)|114.17737603027928|8.734477919191077|114|0|0|(125.18,.00)|(150.12,.00)|(134.74,.00)|0.00|0.30|0.00|(135.18,.00)|(1.00,.00)|134.17737603027928|8.734477919191077|0|null|2.514406133797754|0|null|false|0|false
1.70|(115.62,.06)|(1.00,.01)|114.62369167227214|8.818634047838074|114|0|0|(125.62,.00)|(150.90,.00)|(135.18,.00)|0.00|0.36|0.00|(135.62,.00)|(1.00,.00)|134.62369167227214|8.818634047838074|0|null|2.515079735283003|0|null|false|0|false
1.75|(116.07,.06)|(1.00,.01)|115.07392618288073|8.901090005950662|115|0|0|(126.07,.00)|(151.68,.00)|(135.62,.00)|0.00|0.36|0.00|(136.07,.00)|(1.00,.00)|135.0739261828807|8.901090005950662|0|null|2.51577469525186|0|null|false|0|false
1.80|(116.53,.06)|(1.00,.01)|115.52800513229244|8.981909627881267|115|0|0|(126.53,.00)|(152.46,.00)|(136.07,.00)|0.00|0.36|0.00|(136.53,.00)|(1.00,.00)|135.52800513229244|8.981909627881267|0|null|2.5164874229995586|0|null|false|0|false
1.85|(116.99,.06)|(1.00,.01)|115.98585661524491|9.061152962226087|115|0|0|(126.99,.00)|(153.23,.00)|(136.53,.00)|0.00|0.36|0.00|(136.99,.00)|(1.00,.00)|135.98585661524493|9.061152962226087|0|null|2.5172176028311695|0|null|false|0|false
1.90|(117.45,.07)|(1.00,.01)|116.45095534172847|9.159686513126218|116|0|0|(127.45,.00)|(154.09,.00)|(136.99,.00)|0.00|0.40|0.00|(137.45,.00)|(1.00,.00)|136.45095534172847|9.159686513126218|0|null|2.5179753886923764|0|null|false|0|false
1.95|(117.92,.07)|(1.00,.01)|116.92063150356401|9.25615213538791|116|0|0|(127.92,.00)|(154.95,.00)|(137.45,.00)|0.00|0.40|0.00|(137.92,.00)|(1.00,.00)|136.920631503564|9.25615213538791|0|null|2.5187560564355165|0|null|false|0|false
2.00|(118.39,.07)|(1.00,.01)|117.39479533434624|9.350633551035742|117|0|0|(128.39,.00)|(155.80,.00)|(137.92,.00)|0.00|0.40|0.00|(138.39,.00)|(1.00,.00)|137.39479533434624|9.350633551035742|0|null|2.519559896230242|0|null|false|0|false
2.05|(118.87,.07)|(1.00,.01)|117.87336037666155|9.443209099801944|117|0|0|(128.87,.00)|(156.65,.00)|(138.39,.00)|0.00|0.40|0.00|(138.87,.00)|(1.00,.00)|137.87336037666154|9.443209099801944|0|null|2.5203883860539333|0|null|false|0|false
2.10|(119.36,.08)|(1.00,.01)|118.35963258891309|9.553923666816692|118|0|0|(129.36,.00)|(157.58,.00)|(138.87,.00)|0.00|0.44|0.00|(139.36,.00)|(1.00,.00)|138.3596325889131|9.553923666816692|0|null|2.5212480821732335|0|null|false|0|false
2.15|(119.85,.08)|(1.00,.01)|118.85104242057503|9.662270732663119|118|0|0|(129.85,.00)|(158.50,.00)|(139.36,.00)|0.00|0.44|0.00|(139.85,.00)|(1.00,.00)|138.85104242057503|9.662270732663119|0|null|2.5221348104715045|0|null|false|0|false
2.20|(120.35,.08)|(1.00,.01)|119.3474877121949|9.768350576680055|119|0|0|(130.35,.00)|(159.42,.00)|(139.85,.00)|0.00|0.44|0.00|(140.35,.00)|(1.00,.00)|139.3474877121949|9.768350576680055|0|null|2.523048514013044|0|null|false|0|false
2.25|(120.85,.09)|(1.00,.01)|119.84887027117621|9.872256711281981|119|0|0|(130.85,.00)|(160.34,.00)|(140.35,.00)|0.00|0.44|0.00|(140.85,.00)|(1.00,.00)|139.84887027117622|9.872256711281981|0|null|2.523988901283615|0|null|false|0|false
2.30|(121.36,.09)|(1.00,.01)|120.35833118663182|9.993188906483814|120|0|0|(131.36,.00)|(161.33,.00)|(140.85,.00)|0.00|0.49|0.00|(141.36,.00)|(1.00,.00)|140.3583311866318|9.993188906483814|0|null|2.5249617490795964|0|null|false|0|false
2.35|(121.87,.10)|(1.00,.01)|120.87340342648397|10.11152450494144|120|0|0|(131.87,.00)|(162.32,.00)|(141.36,.00)|0.00|0.49|0.00|(141.87,.00)|(1.00,.00)|140.87340342648397|10.11152450494144|0|null|2.525961694817889|0|null|false|0|false
2.40|(122.39,.10)|(1.00,.01)|121.39397532114211|10.227376089151344|121|0|0|(132.39,.00)|(163.30,.00)|(141.87,.00)|0.00|0.49|0.00|(142.39,.00)|(1.00,.00)|141.3939753211421|10.227376089151344|0|null|2.5269872166203515|0|null|false|0|false
2.45|(122.92,.10)|(1.00,.01)|121.91993963242895|10.340848446144152|121|0|0|(132.92,.00)|(164.28,.00)|(142.39,.00)|0.00|0.49|0.00|(142.92,.00)|(1.00,.00)|141.91993963242896|10.340848446144152|0|null|2.528036544499513|0|null|false|0|false
2.50|(123.45,.11)|(1.00,.01)|122.45119327512624|10.45203930283721|122|0|0|(133.45,.00)|(165.26,.00)|(142.92,.00)|0.00|0.49|0.00|(143.45,.00)|(1.00,.00)|142.45119327512623|10.45203930283721|0|null|2.5291075918742445|0|null|false|0|false
